bin,size,run,task_clock_msec,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
slow_asdf,1,1,497.86,1777977075,907627,1924457,232072,19962,2213
slow_asdf,1,2,476.72,1777025575,1149527,2272893,295862,35173,210
slow_asdf,1,3,475.90,1776776596,948149,2018926,291306,25861,278
slow_asdf,1,4,481.26,1777086120,1101343,2243061,320539,27354,333
slow_asdf,1,5,480.75,1775911296,908691,1945128,256489,12705,148
slow_asdf,1,avg,482.50,1776955332.40,1003067.40,2080893.00,279253.60,24211.00,636.40
slow_asdf,2,1,1918.33,7102912209,10690358,19159315,858634,72035,330
slow_asdf,2,2,1911.81,7103773241,10675138,18289429,541853,55653,979
slow_asdf,2,3,1910.10,7098601176,10678145,20920034,3136621,198136,406
slow_asdf,2,4,1920.17,7104981249,10676151,19482550,1076171,99228,361
slow_asdf,2,5,1921.10,7104922984,10706215,18772656,814459,70149,2365
slow_asdf,2,avg,1916.30,7103038171.80,10685201.40,19324796.80,1285547.60,99040.20,888.20
slow_asdf,4,1,7726.70,28398112169,49846388,89950373,12633123,875925,2890
slow_asdf,4,2,7713.88,28392950307,49880596,93742186,14532393,1102188,2353
slow_asdf,4,3,7718.04,28388358853,49802092,88713449,7801042,619665,2967
slow_asdf,4,4,7717.60,28389429425,49847024,89584621,8355929,698711,2482
slow_asdf,4,5,7753.94,28388740444,50203837,92491411,9322954,807664,2466
slow_asdf,4,avg,7726.03,28391518239.60,49915987.40,90896408.00,10529088.20,820830.60,2631.60
slow_asdf,6,1,17381.98,63964037884,115428459,227984638,61727033,3760176,2767
slow_asdf,6,2,17361.82,63967351346,115399114,222584236,53811853,3078035,4153
slow_asdf,6,3,17391.60,63974224416,115215229,226110498,58607181,3472906,5350
slow_asdf,6,4,17393.14,63964058763,115135539,223959773,48044258,2602074,3878
slow_asdf,6,5,17362.55,63983837369,115119081,222934490,55347321,3282084,5003
slow_asdf,6,avg,17378.22,63970701955.60,115259484.40,224714727.00,55507529.20,3239055.00,4230.20
slow_asdf,8,1,30886.23,113591133954,206764774,441670033,154397272,7851392,6070
slow_asdf,8,2,30930.80,113595951278,206722332,433760631,142731002,7485171,6150
slow_asdf,8,3,30909.09,113602122071,206570691,428430415,151313750,7856460,6093
slow_asdf,8,4,30952.93,113605532224,206771502,436200922,141618238,6999284,5023
slow_asdf,8,5,30946.21,113606153933,206911304,438693336,151138156,7152819,5700
slow_asdf,8,avg,30925.05,113600178692.00,206748120.60,435751067.40,148239683.60,7469025.20,5807.20
slow_asdf,10,1,48394.18,177699744138,324420754,715904247,280403613,13020247,6575
slow_asdf,10,2,48374.75,177694619543,324553347,722580436,293038395,13920004,11105
slow_asdf,10,3,48323.98,177709800387,324246050,703606911,276614486,13564125,7006
slow_asdf,10,4,48359.37,177706316981,324360176,707127681,281872443,14745514,5454
slow_asdf,10,5,48371.98,177682569023,324183620,728648921,308407038,14866164,5925
slow_asdf,10,avg,48364.85,177698610014.40,324352789.40,715573639.20,288067195.00,14023210.80,7213.00
fast_asdf,1,1,5.71,6376159,72854,304095,173956,10067,135
fast_asdf,1,2,4.22,5774635,90552,275361,127591,3034,95
fast_asdf,1,3,5.20,6596260,85743,351859,180024,9528,107
fast_asdf,1,4,4.35,6708368,98078,374717,164875,10556,91
fast_asdf,1,5,3.49,5841221,114480,282576,131348,7479,114
fast_asdf,1,avg,4.59,6259328.60,92341.40,317721.60,155558.80,8132.80,108.40
fast_asdf,2,1,9.22,12252389,85932,294789,175658,10628,405
fast_asdf,2,2,7.92,12481579,76690,296865,177227,9695,114
fast_asdf,2,3,9.47,13769890,44804,346237,178724,18619,1641
fast_asdf,2,4,8.74,12587718,85676,296012,181513,12247,232
fast_asdf,2,5,9.13,13601219,78654,332979,175144,17247,495
fast_asdf,2,avg,8.90,12938559.00,74351.20,313376.40,177653.20,13687.20,577.40
fast_asdf,4,1,21.37,26686743,65837,366292,208010,22026,1189
fast_asdf,4,2,17.72,26303096,92149,359231,202377,6882,138
fast_asdf,4,3,14.96,25840545,92232,328516,207810,11004,152
fast_asdf,4,4,16.55,26957063,102054,389134,206874,15001,133
fast_asdf,4,5,17.72,26047467,99669,380877,211215,4087,124
fast_asdf,4,avg,17.66,26366982.80,90388.20,364810.00,207257.20,11800.00,347.20
fast_asdf,6,1,25.15,40559900,109950,405959,244841,20682,264
fast_asdf,6,2,23.42,41063983,112731,412851,242590,22801,35
fast_asdf,6,3,31.25,40695718,111523,413748,236328,10439,34
fast_asdf,6,4,20.54,40085747,100159,373729,223770,5105,154
fast_asdf,6,5,26.80,40453524,110562,393530,240648,19722,266
fast_asdf,6,avg,25.43,40571774.40,108985.00,399963.40,237635.40,15749.80,150.60
fast_asdf,8,1,32.71,53491512,118157,402060,228293,9333,492
fast_asdf,8,2,33.98,53708790,133101,438277,238335,16415,165
fast_asdf,8,3,38.59,53239542,85821,418338,246192,22949,1395
fast_asdf,8,4,30.05,54684778,127607,450655,258721,18690,67
fast_asdf,8,5,30.72,54703528,132893,445464,250192,16309,49
fast_asdf,8,avg,33.21,53965630.00,119515.80,430958.80,244346.60,16739.20,433.60
fast_asdf,10,1,38.64,66829378,143328,462693,261433,13869,522
fast_asdf,10,2,36.40,67698613,136671,443336,256339,7484,30
fast_asdf,10,3,38.02,68063481,138470,471382,272051,12178,176
fast_asdf,10,4,41.19,68528946,87796,450577,252615,23785,3253
fast_asdf,10,5,36.67,69086063,146265,494974,285418,23214,71
fast_asdf,10,avg,38.18,68041296.20,130506.00,464592.40,265571.20,16106.00,810.40
