bin,size,run,task_clock_msec,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
slow_asdf,1,1,678.12,1779065680,1217645,1801449,95012,9879,3204
slow_asdf,1,2,681.58,1777540153,1228904,1737734,112737,11818,3520
slow_asdf,1,3,674.83,1780500284,968010,1553038,103919,12902,2874
slow_asdf,1,4,682.29,1775482028,976070,1423237,75589,12084,4617
slow_asdf,1,5,683.17,1775787560,977634,1430929,67273,10429,4211
slow_asdf,1,avg,680.00,1777675141.00,1073652.60,1589277.40,90906.00,11422.40,3685.20
slow_asdf,2,1,2726.47,7104988690,11154729,13059216,107465,19537,5036
slow_asdf,2,2,2717.85,7103640842,10894373,12789917,117955,15427,3767
slow_asdf,2,3,2687.16,7106161049,10852024,12713200,104602,15497,3752
slow_asdf,2,4,2707.12,7106916303,10889784,12667042,119206,12798,920
slow_asdf,2,5,2684.61,7106057760,10857568,14092461,102830,14261,1876
slow_asdf,2,avg,2704.64,7105552928.80,10929695.60,13064367.20,110411.60,15504.00,3070.20
slow_asdf,4,1,10876.35,28394059483,50689449,57009861,174122,28440,696
slow_asdf,4,2,10901.07,28397417120,50652772,58159328,211649,35142,7227
slow_asdf,4,3,10851.16,28400419757,50634329,62591797,193988,34620,7264
slow_asdf,4,4,10886.69,28380184242,50613367,56579549,198090,35940,6340
slow_asdf,4,5,10872.40,28389748653,50635925,58398170,227505,34805,5478
slow_asdf,4,avg,10877.53,28392365851.00,50645168.40,58547741.00,201070.80,33789.40,5401.00
slow_asdf,6,1,24478.44,63959039873,116811084,133758671,350380,71180,9858
slow_asdf,6,2,24464.30,64001664965,116928576,136078392,313939,65269,9764
slow_asdf,6,3,24460.67,63977586125,116862107,133866073,384085,63484,6452
slow_asdf,6,4,24451.31,63978440108,116905067,135160925,344014,70133,10497
slow_asdf,6,5,24464.80,63998206433,116957586,138612989,372129,64104,5964
slow_asdf,6,avg,24463.90,63982987500.80,116892884.00,135495410.00,352909.40,66834.00,8507.00
slow_asdf,8,1,43460.00,113651855567,209831473,246426406,579473,118672,10673
slow_asdf,8,2,43528.73,113655248860,209721882,239237359,591854,111505,9843
slow_asdf,8,3,43509.69,113629319167,209711921,251559596,654313,126011,9988
slow_asdf,8,4,43534.96,113639147193,210020227,261193127,741874,133255,9872
slow_asdf,8,5,43538.15,113673407476,209697462,264259949,763860,144441,14851
slow_asdf,8,avg,43514.31,113649795652.60,209796593.00,252535287.40,666274.80,126776.80,11045.40
slow_asdf,10,1,68149.37,177693223365,329206346,409232108,1410195,221448,15622
slow_asdf,10,2,68111.15,177702831483,329434462,401560225,1337918,211760,15288
slow_asdf,10,3,68095.30,177751842707,329064331,377201958,893532,184745,17767
slow_asdf,10,4,67955.78,177741345412,329001483,380506345,891616,173396,13152
slow_asdf,10,5,68049.21,177716777780,329018004,391979397,956661,192122,15811
slow_asdf,10,avg,68072.16,177721204149.40,329144925.20,392096006.60,1097984.40,196694.20,15528.00
fast_asdf,1,1,16.09,6889281,48613,175117,56193,9813,4286
fast_asdf,1,2,13.68,6767745,32309,180864,66712,10236,4260
fast_asdf,1,3,6.74,6181524,73345,221512,68739,4369,6
fast_asdf,1,4,6.62,7092584,62236,226175,68205,9783,664
fast_asdf,1,5,15.87,6507422,45767,186805,60075,9499,3470
fast_asdf,1,avg,11.80,6687711.20,52454.00,198094.60,63984.80,8740.00,2537.20
fast_asdf,2,1,22.88,13053764,48562,222710,69446,9327,3357
fast_asdf,2,2,24.65,12307954,86269,231481,75051,7875,1212
fast_asdf,2,3,21.39,12603175,51984,224452,72407,8675,2374
fast_asdf,2,4,11.10,13365721,76911,260981,68923,7499,543
fast_asdf,2,5,21.19,12679962,44587,206230,82293,9837,4192
fast_asdf,2,avg,20.24,12802115.20,61662.60,229170.80,73624.00,8642.60,2335.60
fast_asdf,4,1,33.79,25005783,69784,236197,85939,8619,2267
fast_asdf,4,2,27.31,26566444,56885,236063,108734,14054,4244
fast_asdf,4,3,25.93,26098349,63020,277544,105271,10994,2554
fast_asdf,4,4,36.73,27535942,65176,229841,71865,10654,3342
fast_asdf,4,5,34.95,26010202,69720,267104,74306,8600,2748
fast_asdf,4,avg,31.74,26243344.00,64917.00,249349.80,89223.00,10584.20,3031.00
fast_asdf,6,1,43.61,39231397,81036,235232,68003,11615,4755
fast_asdf,6,2,45.91,40626932,87390,244419,88330,13849,4363
fast_asdf,6,3,43.97,39720624,74560,236264,90983,13527,4581
fast_asdf,6,4,28.78,40668619,98963,304617,80129,9888,1106
fast_asdf,6,5,44.17,40248479,73394,274199,114504,14353,4222
fast_asdf,6,avg,41.29,40099210.20,83068.60,258946.20,88389.80,12646.40,3805.40
fast_asdf,8,1,54.07,55198804,109596,350460,102893,12489,4115
fast_asdf,8,2,50.41,53377740,91731,278568,82892,11696,4079
fast_asdf,8,3,52.17,53411640,95101,266605,69140,11637,3796
fast_asdf,8,4,53.47,53782993,101401,308319,83232,8638,2472
fast_asdf,8,5,38.31,54022687,119605,313564,89799,6310,266
fast_asdf,8,avg,49.69,53958772.80,103486.80,303503.20,85591.20,10154.00,2945.60
fast_asdf,10,1,61.31,67699040,113214,336580,97748,8549,2060
fast_asdf,10,2,59.36,67910116,122036,339361,81699,9388,2742
fast_asdf,10,3,59.70,67893759,113537,322053,89965,10375,3626
fast_asdf,10,4,67.14,65103866,134917,281739,123491,12454,4859
fast_asdf,10,5,49.56,68627275,111177,340475,96852,11385,1024
fast_asdf,10,avg,59.41,67446811.20,118976.20,324041.60,97951.00,10430.20,2862.20
