`bin`,`size`,`run`,`task_clock_msec`,`cycles`,`instructions`,`branch_misses`,`cache_references`,`cache_misses`,`l1_dcache_loads`,`l1_dcache_load_misses`,`l2_references`,`l2_misses`,`llc_loads`,`llc_load_misses`
`fast_asdf`,1,1,5.79,13259443.0,19450898.0,76998.0,222275.0,30590.0,6376159.0,72854.0,304095.0,173956.0,10067.0,135.0
`fast_asdf`,1,2,3.36,13300419.0,19438817.0,76853.0,216039.0,28276.0,5774635.0,90552.0,275361.0,127591.0,3034.0,95.0
`fast_asdf`,1,3,4.61,13272523.0,19446246.0,77001.0,223856.0,29458.0,6596260.0,85743.0,351859.0,180024.0,9528.0,107.0
`fast_asdf`,1,4,3.27,13295297.0,19436573.0,76939.0,219423.0,28592.0,6708368.0,98078.0,374717.0,164875.0,10556.0,91.0
`fast_asdf`,1,5,4.33,13299451.0,19500121.0,77071.0,226830.0,31797.0,5841221.0,114480.0,282576.0,131348.0,7479.0,114.0
`fast_asdf`,1,avg,4.27,13285426.6,19454531.0,76972.4,221684.6,29742.6,6259328.6,92341.4,317721.6,155558.8,8132.8,108.4
`fast_asdf`,2,1,17.75,24775338.0,37418810.0,146083.0,256564.0,82118.0,12252389.0,85932.0,294789.0,175658.0,10628.0,405.0
`fast_asdf`,2,2,8.73,24318798.0,37287529.0,144854.0,236453.0,30714.0,12481579.0,76690.0,296865.0,177227.0,9695.0,114.0
`fast_asdf`,2,3,8.67,24356161.0,37298827.0,144875.0,229368.0,31049.0,13769890.0,44804.0,346237.0,178724.0,18619.0,1641.0
`fast_asdf`,2,4,9.76,24269641.0,37301577.0,144404.0,232894.0,30659.0,12587718.0,85676.0,296012.0,181513.0,12247.0,232.0
`fast_asdf`,2,5,9.09,24384897.0,37341563.0,144874.0,229352.0,30338.0,13601219.0,78654.0,332979.0,175144.0,17247.0,495.0
`fast_asdf`,2,avg,10.8,24420967.0,37329661.2,145018.0,236926.2,40975.6,12938559.0,74351.2,313376.4,177653.2,13687.2,577.4
`fast_asdf`,4,1,28.9,47755272.0,75998022.0,277669.0,277452.0,85186.0,26686743.0,65837.0,366292.0,208010.0,22026.0,1189.0
`fast_asdf`,4,2,18.96,47315103.0,75889206.0,276564.0,261772.0,32247.0,26303096.0,92149.0,359231.0,202377.0,6882.0,138.0
`fast_asdf`,4,3,22.8,47516629.0,75874302.0,276517.0,268832.0,33651.0,25840545.0,92232.0,328516.0,207810.0,11004.0,152.0
`fast_asdf`,4,4,20.71,47493193.0,75971864.0,277543.0,274648.0,33207.0,26957063.0,102054.0,389134.0,206874.0,15001.0,133.0
`fast_asdf`,4,5,17.01,47395120.0,75873768.0,276614.0,265826.0,32881.0,26047467.0,99669.0,380877.0,211215.0,4087.0,124.0
`fast_asdf`,4,avg,21.68,47495063.4,75921432.4,276981.4,269706.0,43434.4,26366982.8,90388.2,364810.0,207257.2,11800.0,347.2
`fast_asdf`,6,1,20.39,71926039.0,116124581.0,428579.0,266835.0,34047.0,40559900.0,109950.0,405959.0,244841.0,20682.0,264.0
`fast_asdf`,6,2,26.16,72349984.0,116218261.0,431247.0,293764.0,33175.0,41063983.0,112731.0,412851.0,242590.0,22801.0,35.0
`fast_asdf`,6,3,19.02,72022639.0,116105198.0,428697.0,274416.0,34457.0,40695718.0,111523.0,413748.0,236328.0,10439.0,34.0
`fast_asdf`,6,4,26.7,72160224.0,116198039.0,429976.0,293798.0,35988.0,40085747.0,100159.0,373729.0,223770.0,5105.0,154.0
`fast_asdf`,6,5,17.77,72234376.0,116152510.0,429081.0,286925.0,36030.0,40453524.0,110562.0,393530.0,240648.0,19722.0,266.0
`fast_asdf`,6,avg,22.01,72138652.4,116159717.8,429516.0,283147.6,34739.4,40571774.4,108985.0,399963.4,237635.4,15749.8,150.6
`fast_asdf`,8,1,46.16,96457810.0,155526989.0,577730.0,293874.0,82551.0,53491512.0,118157.0,402060.0,228293.0,9333.0,492.0
`fast_asdf`,8,2,29.69,96355566.0,155437652.0,577377.0,304773.0,37355.0,53708790.0,133101.0,438277.0,238335.0,16415.0,165.0
`fast_asdf`,8,3,41.06,96217820.0,155522202.0,577389.0,324167.0,38891.0,53239542.0,85821.0,418338.0,246192.0,22949.0,1395.0
`fast_asdf`,8,4,41.35,96012354.0,155507748.0,576828.0,308640.0,37780.0,54684778.0,127607.0,450655.0,258721.0,18690.0,67.0
`fast_asdf`,8,5,34.12,99988974.0,155490510.0,577641.0,304373.0,35654.0,54703528.0,132893.0,445464.0,250192.0,16309.0,49.0
`fast_asdf`,8,avg,38.48,97006504.8,155497020.2,577393.0,307165.4,46446.2,53965630.0,119515.8,430958.8,244346.6,16739.2,433.6
`fast_asdf`,10,1,40.28,120905506.0,194872680.0,732665.0,333683.0,51401.0,66829378.0,143328.0,462693.0,261433.0,13869.0,522.0
`fast_asdf`,10,2,40.46,120825116.0,194982013.0,734052.0,337936.0,40538.0,67698613.0,136671.0,443336.0,256339.0,7484.0,30.0
`fast_asdf`,10,3,36.03,120771461.0,194957837.0,731659.0,333354.0,37970.0,68063481.0,138470.0,471382.0,272051.0,12178.0,176.0
`fast_asdf`,10,4,37.1,120925305.0,194871590.0,731791.0,324667.0,38030.0,68528946.0,87796.0,450577.0,252615.0,23785.0,3253.0
`fast_asdf`,10,5,30.12,120744635.0,194910238.0,730344.0,323867.0,37173.0,69086063.0,146265.0,494974.0,285418.0,23214.0,71.0
`fast_asdf`,10,avg,36.8,120834404.6,194918871.6,732102.2,330701.4,41022.4,68041296.2,130506.0,464592.4,265571.2,16106.0,810.4
`slow_asdf`,1,1,490.13,1960210456.0,4252669683.0,12484738.0,290597.0,84121.0,1777977075.0,907627.0,1924457.0,232072.0,19962.0,2213.0
`slow_asdf`,1,2,472.64,1955107528.0,4252639025.0,12420827.0,277792.0,33485.0,1777025575.0,1149527.0,2272893.0,295862.0,35173.0,210.0
`slow_asdf`,1,3,486.12,1957867453.0,4252743984.0,12431829.0,323874.0,47079.0,1776776596.0,948149.0,2018926.0,291306.0,25861.0,278.0
`slow_asdf`,1,4,477.67,1954058682.0,4252575394.0,12412697.0,319881.0,31654.0,1777086120.0,1101343.0,2243061.0,320539.0,27354.0,333.0
`slow_asdf`,1,5,483.55,1956845492.0,4252738480.0,12467891.0,291654.0,34228.0,1775911296.0,908691.0,1945128.0,256489.0,12705.0,148.0
`slow_asdf`,1,avg,482.02,1956817922.2,4252673313.2,12443596.4,300759.6,46113.4,1776955332.4,1003067.4,2080893.0,279253.6,24211.0,636.4
`slow_asdf`,2,1,1910.79,7928974564.0,17009987636.0,52056957.0,610611.0,43150.0,7102912209.0,10690358.0,19159315.0,858634.0,72035.0,330.0
`slow_asdf`,2,2,1911.03,7930585964.0,17010038519.0,52091217.0,595500.0,48391.0,7103773241.0,10675138.0,18289429.0,541853.0,55653.0,979.0
`slow_asdf`,2,3,1908.48,7948422205.0,17009897051.0,52067529.0,662990.0,36693.0,7098601176.0,10678145.0,20920034.0,3136621.0,198136.0,406.0
`slow_asdf`,2,4,1920.74,7928813290.0,17010148375.0,52037994.0,567770.0,45631.0,7104981249.0,10676151.0,19482550.0,1076171.0,99228.0,361.0
`slow_asdf`,2,5,1915.25,7947125354.0,17010134912.0,52036067.0,727517.0,68783.0,7104922984.0,10706215.0,18772656.0,814459.0,70149.0,2365.0
`slow_asdf`,2,avg,1913.26,7936784275.4,17010041298.6,52057952.8,632877.6,48529.6,7103038171.8,10685201.4,19324796.8,1285547.6,99040.2,888.2
`slow_asdf`,4,1,7671.7,31967924511.0,67990659698.0,214237329.0,7343913.0,82009.0,28398112169.0,49846388.0,89950373.0,12633123.0,875925.0,2890.0
`slow_asdf`,4,2,7686.44,32003831659.0,67990685261.0,214201517.0,8090643.0,114123.0,28392950307.0,49880596.0,93742186.0,14532393.0,1102188.0,2353.0
`slow_asdf`,4,3,7681.51,31992704046.0,67990727675.0,214277621.0,20882112.0,68077.0,28388358853.0,49802092.0,88713449.0,7801042.0,619665.0,2967.0
`slow_asdf`,4,4,7697.77,32070856878.0,67990865284.0,214238098.0,11477282.0,111147.0,28389429425.0,49847024.0,89584621.0,8355929.0,698711.0,2482.0
`slow_asdf`,4,5,7667.05,32023245074.0,67990226820.0,214331555.0,18932322.0,62629.0,28388740444.0,50203837.0,92491411.0,9322954.0,807664.0,2466.0
`slow_asdf`,4,avg,7680.89,32011712433.6,67990632947.6,214257224.0,13345254.4,87597.0,28391518239.6,49915987.4,90896408.0,10529088.2,820830.6,2631.6
`slow_asdf`,6,1,17357.71,72355380070.0,153197045317.0,483140111.0,76967818.0,165982.0,63964037884.0,115428459.0,227984638.0,61727033.0,3760176.0,2767.0
`slow_asdf`,6,2,17321.81,72299535680.0,153196430426.0,482902749.0,64457727.0,147248.0,63967351346.0,115399114.0,222584236.0,53811853.0,3078035.0,4153.0
`slow_asdf`,6,3,17333.69,72251950660.0,153197523202.0,483077496.0,70017803.0,156398.0,63974224416.0,115215229.0,226110498.0,58607181.0,3472906.0,5350.0
`slow_asdf`,6,4,17333.68,72278974080.0,153197331960.0,483014393.0,85188057.0,141343.0,63964058763.0,115135539.0,223959773.0,48044258.0,2602074.0,3878.0
`slow_asdf`,6,5,17299.51,72151018978.0,153196293543.0,483102860.0,70915107.0,135917.0,63983837369.0,115119081.0,222934490.0,55347321.0,3282084.0,5003.0
`slow_asdf`,6,avg,17329.28,72267371893.6,153196924889.6,483047521.8,73509302.4,149377.6,63970701955.6,115259484.4,224714727.0,55507529.2,3239055.0,4230.2
`slow_asdf`,8,1,30828.89,128520578972.0,272086781677.0,862162427.0,192415386.0,229404.0,113591133954.0,206764774.0,441670033.0,154397272.0,7851392.0,6070.0
`slow_asdf`,8,2,30803.98,128460881962.0,272085332376.0,862145486.0,188409428.0,290503.0,113595951278.0,206722332.0,433760631.0,142731002.0,7485171.0,6150.0
`slow_asdf`,8,3,30810.95,128494527902.0,272085128203.0,862219508.0,210610894.0,238396.0,113602122071.0,206570691.0,428430415.0,151313750.0,7856460.0,6093.0
`slow_asdf`,8,4,30846.46,128599944311.0,272087088829.0,862403472.0,244315606.0,285652.0,113605532224.0,206771502.0,436200922.0,141618238.0,6999284.0,5023.0
`slow_asdf`,8,5,30785.17,128376803852.0,272085423353.0,861755611.0,201292214.0,256424.0,113606153933.0,206911304.0,438693336.0,151138156.0,7152819.0,5700.0
`slow_asdf`,8,avg,30815.09,128490547399.8,272085950887.6,862137300.8,207408705.6,260075.8,113600178692.0,206748120.6,435751067.4,148239683.6,7469025.2,5807.2
`slow_asdf`,10,1,48156.34,200749337874.0,425600642160.0,1348358045.0,375158849.0,434287.0,177699744138.0,324420754.0,715904247.0,280403613.0,13020247.0,6575.0
`slow_asdf`,10,2,48190.77,200883878125.0,425599853951.0,1348617014.0,417398182.0,451850.0,177694619543.0,324553347.0,722580436.0,293038395.0,13920004.0,11105.0
`slow_asdf`,10,3,48191.37,200962584585.0,425600439507.0,1348449041.0,438485156.0,401259.0,177709800387.0,324246050.0,703606911.0,276614486.0,13564125.0,7006.0
`slow_asdf`,10,4,48194.06,201019394365.0,425599718112.0,1348333967.0,445141107.0,349803.0,177706316981.0,324360176.0,707127681.0,281872443.0,14745514.0,5454.0
`slow_asdf`,10,5,48219.96,201080972812.0,425600651419.0,1348098131.0,458983586.0,410337.0,177682569023.0,324183620.0,728648921.0,308407038.0,14866164.0,5925.0
`slow_asdf`,10,avg,48190.5,200939233552.2,425600261029.8,1348371239.6,427033376.0,409507.2,177698610014.4,324352789.4,715573639.2,288067195.0,14023210.8,7213.0
