`bin`,`size`,`run`,`task_clock_msec`,`cycles`,`instructions`,`branch_misses`,`cache_references`,`cache_misses`,`l1_dcache_loads`,`l1_dcache_load_misses`,`l2_references`,`l2_misses`,`llc_loads`,`llc_load_misses`
`fast_asdf`,1,1,15.47,13073744.0,19583041.0,75820.0,52592.0,12141.0,6889281.0,48613.0,175117.0,56193.0,9813.0,4286.0
`fast_asdf`,1,2,15.81,13400987.0,19555237.0,78792.0,45390.0,11858.0,6767745.0,32309.0,180864.0,66712.0,10236.0,4260.0
`fast_asdf`,1,3,8.44,13439041.0,19500869.0,74532.0,43247.0,11620.0,6181524.0,73345.0,221512.0,68739.0,4369.0,6.0
`fast_asdf`,1,4,9.36,13242665.0,19496851.0,75542.0,52264.0,13292.0,7092584.0,62236.0,226175.0,68205.0,9783.0,664.0
`fast_asdf`,1,5,15.38,13345711.0,19603929.0,77505.0,68270.0,11554.0,6507422.0,45767.0,186805.0,60075.0,9499.0,3470.0
`fast_asdf`,1,avg,12.89,13300429.6,19547985.4,76438.2,52352.6,12093.0,6687711.2,52454.0,198094.6,63984.8,8740.0,2537.2
`fast_asdf`,2,1,24.47,25090495.0,37441195.0,141650.0,46456.0,11611.0,13053764.0,48562.0,222710.0,69446.0,9327.0,3357.0
`fast_asdf`,2,2,24.46,24259456.0,37444364.0,142017.0,45357.0,11673.0,12307954.0,86269.0,231481.0,75051.0,7875.0,1212.0
`fast_asdf`,2,3,14.57,24409300.0,37411416.0,142787.0,48031.0,11331.0,12603175.0,51984.0,224452.0,72407.0,8675.0,2374.0
`fast_asdf`,2,4,16.83,24259285.0,37366315.0,142630.0,48713.0,10879.0,13365721.0,76911.0,260981.0,68923.0,7499.0,543.0
`fast_asdf`,2,5,11.75,24489830.0,37317408.0,141591.0,44915.0,11080.0,12679962.0,44587.0,206230.0,82293.0,9837.0,4192.0
`fast_asdf`,2,avg,18.42,24501673.2,37396139.6,142135.0,46694.4,11314.8,12802115.2,61662.6,229170.8,73624.0,8642.6,2335.6
`fast_asdf`,4,1,22.47,47711834.0,75952315.0,274938.0,50102.0,11342.0,25005783.0,69784.0,236197.0,85939.0,8619.0,2267.0
`fast_asdf`,4,2,37.13,47389822.0,76109514.0,276136.0,62325.0,11494.0,26566444.0,56885.0,236063.0,108734.0,14054.0,4244.0
`fast_asdf`,4,3,28.06,48373307.0,75946411.0,279049.0,50396.0,11380.0,26098349.0,63020.0,277544.0,105271.0,10994.0,2554.0
`fast_asdf`,4,4,36.43,47287009.0,76077097.0,274496.0,48846.0,11761.0,27535942.0,65176.0,229841.0,71865.0,10654.0,3342.0
`fast_asdf`,4,5,34.21,48232209.0,76035622.0,273949.0,51610.0,11018.0,26010202.0,69720.0,267104.0,74306.0,8600.0,2748.0
`fast_asdf`,4,avg,31.66,47798836.2,76024191.8,275713.6,52655.8,11399.0,26243344.0,64917.0,249349.8,89223.0,10584.2,3031.0
`fast_asdf`,6,1,43.26,72717440.0,116295909.0,436357.0,72072.0,11657.0,39231397.0,81036.0,235232.0,68003.0,11615.0,4755.0
`fast_asdf`,6,2,46.81,72334775.0,116259315.0,426984.0,62363.0,12044.0,40626932.0,87390.0,244419.0,88330.0,13849.0,4363.0
`fast_asdf`,6,3,44.74,72105911.0,116358408.0,428353.0,60011.0,12341.0,39720624.0,74560.0,236264.0,90983.0,13527.0,4581.0
`fast_asdf`,6,4,36.63,73795111.0,116177659.0,428246.0,61502.0,11846.0,40668619.0,98963.0,304617.0,80129.0,9888.0,1106.0
`fast_asdf`,6,5,46.6,72377013.0,116308227.0,428913.0,61860.0,12079.0,40248479.0,73394.0,274199.0,114504.0,14353.0,4222.0
`fast_asdf`,6,avg,43.61,72666050.0,116279903.6,429770.6,63561.6,11993.4,40099210.2,83068.6,258946.2,88389.8,12646.4,3805.4
