bin,size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
slow_asdf,1,1,313.06,1213089110,4251793114,10200907,90356,9807
slow_asdf,1,2,311.99,1214463761,4251532852,10167796,80515,8592
slow_asdf,1,3,311.15,1212918592,4251616002,10146880,81813,9307
slow_asdf,1,4,312.31,1215779680,4251592721,10202843,82862,10167
slow_asdf,1,5,312.01,1216548077,4251668662,10173702,77639,11587
slow_asdf,1,avg,312.10,1214559844.00,4251640670.20,10178425.60,82637.00,9892.00
slow_asdf,2,1,1300.27,5161022304,17007273697,48136769,165650,16610
slow_asdf,2,2,1301.95,5167382960,17006224770,48279133,154910,12093
slow_asdf,2,3,1309.69,5197926866,17006614294,48383632,148174,11368
slow_asdf,2,4,1316.37,5222863188,17006942246,48060290,135237,13526
slow_asdf,2,5,1304.69,5172052642,17006448384,48041776,136409,13602
slow_asdf,2,avg,1306.59,5184249592.00,17006700678.20,48180320.00,148076.00,13439.80
slow_asdf,4,1,5286.46,21065588217,67977414254,203193297,357835,21463
slow_asdf,4,2,5284.96,21066273311,67978674553,203442438,449225,21842
slow_asdf,4,3,5290.29,21080504076,67977411463,203446032,345707,22677
slow_asdf,4,4,5279.16,21040049468,67978679348,203573436,385956,17337
slow_asdf,4,5,5287.39,21060230787,67978951875,203407243,364927,24718
slow_asdf,4,avg,5285.65,21062529171.80,67978226298.60,203412489.20,380730.00,21607.40
slow_asdf,6,1,11910.90,47504108835,153167620614,460249021,686928,31764
slow_asdf,6,2,11902.87,47475656608,153168043579,460399343,782517,30275
slow_asdf,6,3,11907.21,47484707457,153167716599,459775745,784221,32759
slow_asdf,6,4,11930.75,47583817260,153170208596,460140903,868903,33109
slow_asdf,6,5,11909.59,47504041748,153168678080,460568418,685603,29166
slow_asdf,6,avg,11912.26,47510466381.60,153168453493.60,460226686.00,761634.40,31414.60
slow_asdf,8,1,21246.34,84763963637,272035471634,825237451,1354833,39168
slow_asdf,8,2,21201.02,84581280187,272037074503,825594648,1882616,42591
slow_asdf,8,3,21221.49,84662663512,272037534888,824699762,1253849,37821
slow_asdf,8,4,21186.83,84525289640,272041712797,825492504,1840869,40823
slow_asdf,8,5,21206.76,84606648452,272038434634,824963349,1524363,39490
slow_asdf,8,avg,21212.49,84627969085.60,272038045691.20,825197542.80,1571306.00,39978.60
slow_asdf,10,1,33205.42,132493932748,425522366442,1293049737,2369627,44881
slow_asdf,10,2,33204.46,132488260202,425522392606,1292374660,2441349,52881
slow_asdf,10,3,33335.66,133007620013,425528486044,1293172063,2948202,46972
slow_asdf,10,4,33379.36,133182550588,425527270714,1293193782,2443052,50998
slow_asdf,10,5,33250.24,132665165587,425526297571,1292515395,2127228,51133
slow_asdf,10,avg,33275.03,132767505827.60,425525362675.40,1292861127.40,2465891.60,49373.00
fast_asdf,1,1,7.20,9040678,19457960,73365,58352,9858
fast_asdf,1,2,6.47,8946507,19444751,72645,53906,8762
fast_asdf,1,3,6.84,9217936,19442995,74635,86594,9272
fast_asdf,1,4,6.79,8911179,19441857,72262,54294,8612
fast_asdf,1,5,7.06,8978115,19439220,73296,62023,8146
fast_asdf,1,avg,6.87,9018883.00,19445356.60,73240.60,63033.80,8930.00
fast_asdf,2,1,11.52,16540707,37276255,139497,56450,8778
fast_asdf,2,2,10.73,16488807,37315756,140434,52899,8946
fast_asdf,2,3,10.10,16488268,37294720,139958,58291,8454
fast_asdf,2,4,9.56,16422391,37276100,140402,58568,9596
fast_asdf,2,5,8.91,16496776,37241522,139703,56047,9137
fast_asdf,2,avg,10.16,16487389.80,37280870.60,139998.80,56451.00,8982.20
fast_asdf,4,1,17.73,32200701,75834108,274337,54785,10046
fast_asdf,4,2,14.85,32015594,75814292,274094,53599,9610
fast_asdf,4,3,14.75,32193790,75848337,274619,67189,13981
fast_asdf,4,4,14.43,32080692,75846925,275321,63171,11942
fast_asdf,4,5,14.95,32529063,75862812,276014,89772,10321
fast_asdf,4,avg,15.34,32203968.00,75841294.80,274877.00,65703.20,11180.00
fast_asdf,6,1,21.69,48641774,116030271,426152,54683,11426
fast_asdf,6,2,19.70,49052534,116087454,428168,95529,10885
fast_asdf,6,3,17.26,48434130,116067424,427356,54203,11391
fast_asdf,6,4,19.63,49049305,116024667,430594,117164,12265
fast_asdf,6,5,19.13,48749433,116080416,426609,66451,10837
fast_asdf,6,avg,19.48,48785435.20,116058046.40,427775.80,77606.00,11360.80
fast_asdf,8,1,25.37,65323499,155317794,575986,64781,12855
fast_asdf,8,2,23.45,65272007,155308323,575501,72456,12490
fast_asdf,8,3,23.87,65522522,155372060,575884,73071,14995
fast_asdf,8,4,24.17,65799361,155310594,579415,109351,15541
fast_asdf,8,5,23.57,65759427,155325965,574277,67149,12848
fast_asdf,8,avg,24.09,65535363.20,155326947.20,576212.60,77361.60,13745.80
fast_asdf,10,1,30.10,82438867,194871500,726144,63221,12919
fast_asdf,10,2,27.70,81851436,194762228,728427,71258,13205
fast_asdf,10,3,29.97,81801371,194778227,729360,71442,13334
fast_asdf,10,4,26.37,81917076,194793536,727976,62871,13415
fast_asdf,10,5,27.57,81929199,194790831,728831,66618,12977
fast_asdf,10,avg,28.34,81987589.80,194799264.40,728147.60,67082.00,13170.00
