bin,size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses
slow_asdf,1,1,681.21,1961210544,4254323523,12431396,84125,13184
slow_asdf,1,2,663.13,1961534089,4254166765,12451178,55003,12911
slow_asdf,1,3,674.41,1963731295,4254059412,12448237,52184,11809
slow_asdf,1,4,670.28,1963637807,4254348494,12441210,60644,14234
slow_asdf,1,5,681.32,1961299343,4254209370,12441332,54663,12868
slow_asdf,1,avg,674.07,1962282615.60,4254221512.80,12442670.60,61323.80,13001.20
slow_asdf,2,1,2679.96,7975782419,17016042684,52071602,65687,13696
slow_asdf,2,2,2726.08,7969554676,17017183350,52049059,85856,20384
slow_asdf,2,3,2678.15,7957954403,17016108883,52082092,68417,15232
slow_asdf,2,4,2696.11,7994330495,17016195728,52045237,73187,15748
slow_asdf,2,5,2709.19,7987295452,17017486195,52260681,122335,23097
slow_asdf,2,avg,2697.90,7976983489.00,17016603368.00,52101734.20,83096.40,17631.40
slow_asdf,4,1,10814.06,32105994447,68016582891,214335902,163075,31769
slow_asdf,4,2,10818.72,32091199584,68017082633,214382752,158270,33403
slow_asdf,4,3,10798.91,32106539295,68016890604,214382697,175082,33102
slow_asdf,4,4,10837.43,32102851384,68016831354,214354247,184346,29910
slow_asdf,4,5,10789.20,32095957816,68015108045,214457605,129945,21782
slow_asdf,4,avg,10811.66,32100508505.20,68016499105.40,214382640.60,162143.60,29993.20
slow_asdf,6,1,24331.61,72339422444,153255230666,483286394,280302,53685
slow_asdf,6,2,24370.16,72303949226,153256733554,483124717,329070,59121
slow_asdf,6,3,24296.59,72253055447,153252473808,483212273,232996,31115
slow_asdf,6,4,24338.74,72314062478,153255020368,483173391,289281,51963
slow_asdf,6,5,24363.42,72356548187,153257478791,483409358,338869,62216
slow_asdf,6,avg,24340.10,72313407556.40,153255387437.40,483241226.60,294103.60,51620.00
slow_asdf,8,1,43305.61,128610340543,272189423026,862474645,549373,86580
slow_asdf,8,2,43290.11,128703647306,272191193394,862430172,597674,88301
slow_asdf,8,3,43343.14,128707382003,272191029557,862281576,563295,85204
slow_asdf,8,4,43285.36,128554955750,272187376236,862348984,483161,63897
slow_asdf,8,5,43309.21,128603147561,272190868502,862724013,583146,89344
slow_asdf,8,avg,43306.69,128635894632.60,272189978143.00,862451878.00,555329.80,82665.20
slow_asdf,10,1,67778.70,201364656001,425762543055,1348838660,972477,129508
slow_asdf,10,2,67775.83,201283033384,425764297283,1349019756,1022006,137009
slow_asdf,10,3,67737.50,201249562328,425760906654,1349079999,852221,120835
slow_asdf,10,4,67711.98,201234859985,425762290847,1349649972,1395049,129926
slow_asdf,10,5,67746.95,201338715182,425763428454,1349135554,962471,138979
slow_asdf,10,avg,67750.19,201294165376.00,425762693258.60,1349144788.20,1040844.80,131251.40
fast_asdf,1,1,15.47,13073744,19583041,75820,52592,12141
fast_asdf,1,2,15.81,13400987,19555237,78792,45390,11858
fast_asdf,1,3,8.44,13439041,19500869,74532,43247,11620
fast_asdf,1,4,9.36,13242665,19496851,75542,52264,13292
fast_asdf,1,5,15.38,13345711,19603929,77505,68270,11554
fast_asdf,1,avg,12.89,13300429.60,19547985.40,76438.20,52352.60,12093.00
fast_asdf,2,1,24.47,25090495,37441195,141650,46456,11611
fast_asdf,2,2,24.46,24259456,37444364,142017,45357,11673
fast_asdf,2,3,14.57,24409300,37411416,142787,48031,11331
fast_asdf,2,4,16.83,24259285,37366315,142630,48713,10879
fast_asdf,2,5,11.75,24489830,37317408,141591,44915,11080
fast_asdf,2,avg,18.42,24501673.20,37396139.60,142135.00,46694.40,11314.80
fast_asdf,4,1,22.47,47711834,75952315,274938,50102,11342
fast_asdf,4,2,37.13,47389822,76109514,276136,62325,11494
fast_asdf,4,3,28.06,48373307,75946411,279049,50396,11380
fast_asdf,4,4,36.43,47287009,76077097,274496,48846,11761
fast_asdf,4,5,34.21,48232209,76035622,273949,51610,11018
fast_asdf,4,avg,31.66,47798836.20,76024191.80,275713.60,52655.80,11399.00
fast_asdf,6,1,43.26,72717440,116295909,436357,72072,11657
fast_asdf,6,2,46.81,72334775,116259315,426984,62363,12044
fast_asdf,6,3,44.74,72105911,116358408,428353,60011,12341
fast_asdf,6,4,36.63,73795111,116177659,428246,61502,11846
fast_asdf,6,5,46.60,72377013,116308227,428913,61860,12079
fast_asdf,6,avg,43.61,72666050.00,116279903.60,429770.60,63561.60,11993.40
fast_asdf,8,1,53.16,96118139,155623668,576208,59721,11601
fast_asdf,8,2,53.47,96300955,155619787,577048,58454,11835
fast_asdf,8,3,40.70,96798107,155591539,577247,80661,12384
fast_asdf,8,4,53.27,96387467,155671325,577646,75302,12258
fast_asdf,8,5,52.72,96175031,155653726,575279,58752,12957
fast_asdf,8,avg,50.66,96355939.80,155632009.00,576685.60,66578.00,12207.00
fast_asdf,10,1,61.18,121703512,195024740,748219,59464,12125
fast_asdf,10,2,60.80,120985755,195033790,735771,70864,12577
fast_asdf,10,3,49.57,121004131,195054448,728656,61373,12735
fast_asdf,10,4,48.38,120825350,195030940,725579,61273,12432
fast_asdf,10,5,60.67,120818231,195040694,729858,61081,12960
fast_asdf,10,avg,56.12,121067395.80,195036922.40,733616.60,62811.00,12565.80
