binary,hardware,size,array_size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
fast,i7-13700,1,10000,1,7.37,,,,,,7214509.0,28944.0,244929.0,70329.0,4582.0,86.0
fast,i7-13700,1,10000,1,7.2,9040678.0,19457960.0,73365.0,58352.0,9858.0,,,,,,
fast,i7-13700,1,10000,2,6.41,,,,,,7422921.0,15773.0,255956.0,82494.0,5292.0,518.0
fast,i7-13700,1,10000,2,6.47,8946507.0,19444751.0,72645.0,53906.0,8762.0,,,,,,
fast,i7-13700,1,10000,3,6.94,,,,,,7378891.0,25006.0,279404.0,105018.0,4836.0,88.0
fast,i7-13700,1,10000,3,6.84,9217936.0,19442995.0,74635.0,86594.0,9272.0,,,,,,
fast,i7-13700,1,10000,4,6.84,,,,,,7401241.0,26719.0,254894.0,76653.0,4817.0,97.0
fast,i7-13700,1,10000,4,6.79,8911179.0,19441857.0,72262.0,54294.0,8612.0,,,,,,
fast,i7-13700,1,10000,5,2.74,,,,,,4010606.0,32394.0,195341.0,70222.0,616.0,139.0
fast,i7-13700,1,10000,5,7.06,8978115.0,19439220.0,73296.0,62023.0,8146.0,,,,,,
fast,i7-13700,2,20000,1,11.43,,,,,,14339849.0,23225.0,360001.0,178864.0,6813.0,565.0
fast,i7-13700,2,20000,1,11.52,16540707.0,37276255.0,139497.0,56450.0,8778.0,,,,,,
fast,i7-13700,2,20000,2,5.06,,,,,,14563169.0,42405.0,333573.0,101350.0,4495.0,399.0
fast,i7-13700,2,20000,2,10.73,16488807.0,37315756.0,140434.0,52899.0,8946.0,,,,,,
fast,i7-13700,2,20000,3,9.59,,,,,,13597223.0,41447.0,268202.0,69775.0,3703.0,82.0
fast,i7-13700,2,20000,3,10.1,16488268.0,37294720.0,139958.0,58291.0,8454.0,,,,,,
fast,i7-13700,2,20000,4,10.45,,,,,,13257001.0,37236.0,316431.0,103030.0,4353.0,153.0
fast,i7-13700,2,20000,4,9.56,16422391.0,37276100.0,140402.0,58568.0,9596.0,,,,,,
fast,i7-13700,2,20000,5,10.3,,,,,,13342252.0,36680.0,292385.0,75322.0,4192.0,142.0
fast,i7-13700,2,20000,5,8.91,16496776.0,37241522.0,139703.0,56047.0,9137.0,,,,,,
fast,i7-13700,4,40000,1,14.56,,,,,,25990732.0,32413.0,278566.0,82674.0,5082.0,167.0
fast,i7-13700,4,40000,1,17.73,32200701.0,75834108.0,274337.0,54785.0,10046.0,,,,,,
fast,i7-13700,4,40000,2,14.95,,,,,,24499553.0,44584.0,282386.0,86750.0,3059.0,66.0
fast,i7-13700,4,40000,2,14.85,32015594.0,75814292.0,274094.0,53599.0,9610.0,,,,,,
fast,i7-13700,4,40000,3,15.56,,,,,,25715642.0,41153.0,309978.0,108084.0,4659.0,155.0
fast,i7-13700,4,40000,3,14.75,32193790.0,75848337.0,274619.0,67189.0,13981.0,,,,,,
fast,i7-13700,4,40000,4,15.27,,,,,,26157869.0,35936.0,321073.0,127148.0,5233.0,214.0
fast,i7-13700,4,40000,4,14.43,32080692.0,75846925.0,275321.0,63171.0,11942.0,,,,,,
fast,i7-13700,4,40000,5,15.33,,,,,,25964164.0,39151.0,288510.0,79443.0,4883.0,197.0
fast,i7-13700,4,40000,5,14.95,32529063.0,75862812.0,276014.0,89772.0,10321.0,,,,,,
fast,i7-13700,6,60000,1,20.34,,,,,,38962507.0,36375.0,301564.0,95282.0,5717.0,231.0
fast,i7-13700,6,60000,1,21.69,48641774.0,116030271.0,426152.0,54683.0,11426.0,,,,,,
fast,i7-13700,6,60000,2,18.05,,,,,,42632195.0,43181.0,319357.0,95079.0,5185.0,181.0
fast,i7-13700,6,60000,2,19.7,49052534.0,116087454.0,428168.0,95529.0,10885.0,,,,,,
fast,i7-13700,6,60000,3,18.89,,,,,,41146908.0,42534.0,319221.0,89312.0,5445.0,152.0
fast,i7-13700,6,60000,3,17.26,48434130.0,116067424.0,427356.0,54203.0,11391.0,,,,,,
fast,i7-13700,6,60000,4,19.02,,,,,,42089746.0,56401.0,335892.0,100898.0,2331.0,57.0
fast,i7-13700,6,60000,4,19.63,49049305.0,116024667.0,430594.0,117164.0,12265.0,,,,,,
fast,i7-13700,6,60000,5,18.95,,,,,,41180108.0,47346.0,333127.0,96467.0,5627.0,146.0
fast,i7-13700,6,60000,5,19.13,48749433.0,116080416.0,426609.0,66451.0,10837.0,,,,,,
fast,i7-13700,8,80000,1,25.95,,,,,,53984111.0,53274.0,340208.0,105730.0,4856.0,116.0
fast,i7-13700,8,80000,1,25.37,65323499.0,155317794.0,575986.0,64781.0,12855.0,,,,,,
fast,i7-13700,8,80000,2,22.09,,,,,,54560447.0,56796.0,338563.0,92207.0,4422.0,72.0
fast,i7-13700,8,80000,2,23.45,65272007.0,155308323.0,575501.0,72456.0,12490.0,,,,,,
fast,i7-13700,8,80000,3,22.59,,,,,,56098081.0,52747.0,375719.0,119957.0,4662.0,171.0
fast,i7-13700,8,80000,3,23.87,65522522.0,155372060.0,575884.0,73071.0,14995.0,,,,,,
fast,i7-13700,8,80000,4,23.3,,,,,,56309294.0,42203.0,355459.0,111714.0,5347.0,146.0
fast,i7-13700,8,80000,4,24.17,65799361.0,155310594.0,579415.0,109351.0,15541.0,,,,,,
fast,i7-13700,8,80000,5,23.43,,,,,,54996020.0,57402.0,357030.0,103359.0,4340.0,122.0
fast,i7-13700,8,80000,5,23.57,65759427.0,155325965.0,574277.0,67149.0,12848.0,,,,,,
fast,i7-13700,10,100000,1,29.37,,,,,,67610113.0,63372.0,383400.0,94864.0,2074.0,108.0
fast,i7-13700,10,100000,1,30.1,82438867.0,194871500.0,726144.0,63221.0,12919.0,,,,,,
fast,i7-13700,10,100000,2,27.7,,,,,,68219891.0,47181.0,341598.0,102019.0,6585.0,246.0
fast,i7-13700,10,100000,2,27.7,81851436.0,194762228.0,728427.0,71258.0,13205.0,,,,,,
fast,i7-13700,10,100000,3,27.32,,,,,,65384842.0,63222.0,340379.0,103714.0,3463.0,248.0
fast,i7-13700,10,100000,3,29.97,81801371.0,194778227.0,729360.0,71442.0,13334.0,,,,,,
fast,i7-13700,10,100000,4,27.55,,,,,,66664878.0,58617.0,342985.0,97101.0,5222.0,152.0
fast,i7-13700,10,100000,4,26.37,81917076.0,194793536.0,727976.0,62871.0,13415.0,,,,,,
fast,i7-13700,10,100000,5,27.17,,,,,,67595461.0,39683.0,339352.0,158978.0,9341.0,928.0
fast,i7-13700,10,100000,5,27.57,81929199.0,194790831.0,728831.0,66618.0,12977.0,,,,,,
fast,i7-7700,1,10000,1,5.71,,,,,,6376159.0,72854.0,304095.0,173956.0,10067.0,135.0
fast,i7-7700,1,10000,1,5.79,13259443.0,19450898.0,76998.0,222275.0,30590.0,,,,,,
fast,i7-7700,1,10000,2,4.22,,,,,,5774635.0,90552.0,275361.0,127591.0,3034.0,95.0
fast,i7-7700,1,10000,2,3.36,13300419.0,19438817.0,76853.0,216039.0,28276.0,,,,,,
fast,i7-7700,1,10000,3,5.2,,,,,,6596260.0,85743.0,351859.0,180024.0,9528.0,107.0
fast,i7-7700,1,10000,3,4.61,13272523.0,19446246.0,77001.0,223856.0,29458.0,,,,,,
fast,i7-7700,1,10000,4,4.35,,,,,,6708368.0,98078.0,374717.0,164875.0,10556.0,91.0
fast,i7-7700,1,10000,4,3.27,13295297.0,19436573.0,76939.0,219423.0,28592.0,,,,,,
fast,i7-7700,1,10000,5,3.49,,,,,,5841221.0,114480.0,282576.0,131348.0,7479.0,114.0
fast,i7-7700,1,10000,5,4.33,13299451.0,19500121.0,77071.0,226830.0,31797.0,,,,,,
fast,i7-7700,2,20000,1,9.22,,,,,,12252389.0,85932.0,294789.0,175658.0,10628.0,405.0
fast,i7-7700,2,20000,1,17.75,24775338.0,37418810.0,146083.0,256564.0,82118.0,,,,,,
fast,i7-7700,2,20000,2,7.92,,,,,,12481579.0,76690.0,296865.0,177227.0,9695.0,114.0
fast,i7-7700,2,20000,2,8.73,24318798.0,37287529.0,144854.0,236453.0,30714.0,,,,,,
fast,i7-7700,2,20000,3,9.47,,,,,,13769890.0,44804.0,346237.0,178724.0,18619.0,1641.0
fast,i7-7700,2,20000,3,8.67,24356161.0,37298827.0,144875.0,229368.0,31049.0,,,,,,
fast,i7-7700,2,20000,4,8.74,,,,,,12587718.0,85676.0,296012.0,181513.0,12247.0,232.0
fast,i7-7700,2,20000,4,9.76,24269641.0,37301577.0,144404.0,232894.0,30659.0,,,,,,
fast,i7-7700,2,20000,5,9.13,,,,,,13601219.0,78654.0,332979.0,175144.0,17247.0,495.0
fast,i7-7700,2,20000,5,9.09,24384897.0,37341563.0,144874.0,229352.0,30338.0,,,,,,
fast,i7-7700,4,40000,1,21.37,,,,,,26686743.0,65837.0,366292.0,208010.0,22026.0,1189.0
fast,i7-7700,4,40000,1,28.9,47755272.0,75998022.0,277669.0,277452.0,85186.0,,,,,,
fast,i7-7700,4,40000,2,17.72,,,,,,26303096.0,92149.0,359231.0,202377.0,6882.0,138.0
fast,i7-7700,4,40000,2,18.96,47315103.0,75889206.0,276564.0,261772.0,32247.0,,,,,,
fast,i7-7700,4,40000,3,14.96,,,,,,25840545.0,92232.0,328516.0,207810.0,11004.0,152.0
fast,i7-7700,4,40000,3,22.8,47516629.0,75874302.0,276517.0,268832.0,33651.0,,,,,,
fast,i7-7700,4,40000,4,16.55,,,,,,26957063.0,102054.0,389134.0,206874.0,15001.0,133.0
fast,i7-7700,4,40000,4,20.71,47493193.0,75971864.0,277543.0,274648.0,33207.0,,,,,,
fast,i7-7700,4,40000,5,17.72,,,,,,26047467.0,99669.0,380877.0,211215.0,4087.0,124.0
fast,i7-7700,4,40000,5,17.01,47395120.0,75873768.0,276614.0,265826.0,32881.0,,,,,,
fast,i7-7700,6,60000,1,25.15,,,,,,40559900.0,109950.0,405959.0,244841.0,20682.0,264.0
fast,i7-7700,6,60000,1,20.39,71926039.0,116124581.0,428579.0,266835.0,34047.0,,,,,,
fast,i7-7700,6,60000,2,23.42,,,,,,41063983.0,112731.0,412851.0,242590.0,22801.0,35.0
fast,i7-7700,6,60000,2,26.16,72349984.0,116218261.0,431247.0,293764.0,33175.0,,,,,,
fast,i7-7700,6,60000,3,31.25,,,,,,40695718.0,111523.0,413748.0,236328.0,10439.0,34.0
fast,i7-7700,6,60000,3,19.02,72022639.0,116105198.0,428697.0,274416.0,34457.0,,,,,,
